id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
KAUNLARAN,Brgy. Kaunlaran,No Flood,0.07,12387,0.011,103,67,36,14.61689076,121.0440833
KRISTONG_HARI,Brgy. Kristong Hari,Low,1.96,6055,0.087,50,38,12,14.62481582,121.0306197
KRUS_NA_LIGAS,Brgy. Krus na Ligas,Low,0.67,21287,0,177,115,62,14.64432541,121.0627873
LAGING_HANDA,Brgy. Laging Handa,Low,0.87,4812,0.08,40,26,14,14.63250452,121.0305875
LIBIS,Brgy. Libis,Low,1.93,4208,0.06,35,26,9,14.61618993,121.0769978
LOURDES,Brgy. Lourdes,Low,1.56,4523,0.09,38,28,10,14.6258265,121.0021126
LOYOLA_HEIGHTS,Brgy. Loyola Heights,Low,0.9,21140,0.156,176,114,62,14.63830397,121.0739516
MAHARLIKA,Brgy. Maharlika,Low,2.03,4349,0.323,36,27,9,14.63338764,120.996748
MALAYA,Brgy. Malaya,No Flood,0.19,2605,0.012,22,16,6,14.63599851,121.0555432
MANGGA,Brgy. Mangga,Low,0.74,11967,0.225,8,5,3,14.62562661,121.0620108
MANRESA,Brgy. Manresa,Low,2.15,17224,0.087,143,107,36,14.6415392,121.0007527
MARIANA,Brgy. Mariana,Low,1.71,11967,0.07,100,75,25,14.61898561,121.0333129
MARIBLO,Brgy. Mariblo,Low,2.11,3433,0.477,29,19,10,14.63464313,121.0158518
MARILAG,Brgy. Marilag,Low,0.8,12555,0.065,104,68,36,14.62550739,121.069958
MASAGANA,Brgy. Masagana,Low,0.71,4166,0.381,35,23,12,14.61843938,121.0668343
MASAMBONG,Brgy. Masambong,Low,2.24,8800,0.705,73,55,18,14.64212716,121.008637
MATANDANG_BALARA,Brgy. Matandang Balara,Low,2.47,69475,0.063,578,434,144,14.67044973,121.0809336
MILAGROSA,Brgy. Milagrosa,Low,0.72,6775,0.116,56,36,20,14.62059779,121.0697722
NS_AMORANTO,Brgy. N. S. Amoranto,Low,2.39,5952,0.136,50,38,12,14.63241032,120.9935736
NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,High,5.09,53781,0.145,448,336,112,14.71888101,121.0250878
NAYONG_KANLURAN,Brgy. Nayong Kanluran,Low,2.27,2456,0.165,20,15,5,14.64013017,121.024885
NEW_ERA,Brgy. New Era,Low,1.3,14105,0.207,117,88,29,14.66415345,121.0601573
NORTH_FAIRVIEW,Brgy. North Fairview,Low,2.06,44408,0.081,370,240,130,14.71257175,121.0611248
NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,3.88,15468,0.278,129,97,32,14.72064347,121.0374359
OBRERO,Brgy. Obrero,Low,1.78,9500,0.134,79,59,20,14.62828039,121.0297484
OLD_CAPITOL_SITE,Brgy. Old Capitol Site,Low,1.92,1319,0.018,11,8,3,14.65034605,121.0528087
PAANG_BUNDOK,Brgy. Paang Bundok,Low,0.77,4806,0.002,40,26,14,14.6281223,120.9919778
PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Low,2,5918,0.048,49,37,12,14.64708319,120.996701
PALIGSAHAN,Brgy. Paligsahan,Low,1.28,3518,0.065,29,22,7,14.63237915,121.0227965
PALTOK,Brgy. Paltok,Low,2.56,18124,0.211,151,113,38,14.64355619,121.0229969
PANSOL,Brgy. Pansol,Low,2.03,35254,0.059,293,220,73,14.65680508,121.0827832
PARAISO,Brgy. Paraiso,Low,2.27,3537,0.157,29,22,7,14.6378562,121.0175495
PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Low,1.47,39896,0.029,332,249,83,14.74035228,121.095712
PASONG_TAMO,Brgy. Pasong Tamo,Low,2.66,110738,0.114,921,691,230,14.68145912,121.0587009
PAYATAS,Brgy. Payatas,Low,2.11,139740,0.021,1163,872,291,14.71152632,121.1006512
PHILAM,Brgy. Philam,Low,0.93,2524,0.17,21,16,5,14.64938705,121.0309825
PINAGKAISAHAN,Brgy. Pinagkaisahan,Low,1.69,4366,0.173,36,27,9,14.62600533,121.0442133
PINYAHAN,Brgy. Pinyahan,Low,1.48,21868,0.022,182,136,46,14.63789542,121.0470557
PROJECT_6,Brgy. Project 6,Low,1.68,11899,0.118,99,74,25,14.65663659,121.0407057
QUIRINO_2A,Brgy. Quirino 2-A,Low,1.83,4622,0.32,38,28,10,14.63039777,121.0590742
QUIRINO_2B,Brgy. Quirino 2-B,Low,1.59,3938,0.171,33,25,8,14.63225908,121.0618405
QUIRINO_2C,Brgy. Quirino 2-C,Low,1.69,3189,0.213,27,20,7,14.63474852,121.063051
QUIRINO_3A,Brgy. Quirino 3-A,Low,2.06,1070,0.331,9,7,2,14.62866043,121.0636062
QUIRINO_3B,Brgy. Quirino 3-B,Low,2,3885,0.411,32,27,5,14.63158245,121.0645363
RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Medium,3,14321,0.053,119,89,30,14.65911599,121.0226855
ROXAS,Brgy. Roxas,Low,1.95,10670,0.314,89,67,22,14.62762836,121.0218711
SACRED_HEART,Brgy. Sacred Heart,Low,0.62,6089,0.033,51,33,18,14.63139731,121.0388454
SAINT_PETER,Brgy. Saint Peter,Low,2.28,4049,0.343,34,22,12,14.634906,120.9998444
SAINT_IGNATIUS,Brgy. Saint Ignatius,Low,0.73,2054,0.066,17,11,6,14.61285106,121.0729148
SALVACION,Brgy. Salvacion,Low,0.78,6681,0.072,56,42,14,14.6265338,120.9939571
SAN_AGUSTIN,Brgy. San Agustin,Low,2.52,25355,0.074,211,158,53,14.73016968,121.0343875
SAN_ANTONIO,Brgy. San Antonio,Low,2.45,22229,0.295,185,120,65,14.65004568,121.0169596
SAN_BARTOLOME,Brgy. San Bartolome,High,4.79,51148,0.16,426,277,149,14.70627741,121.0309644
SAN_ISIDRO,Brgy. San Isidro,Low,0.76,6550,0.108,55,36,19,14.61289501,121.0083339
SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Low,0.77,6247,0.181,52,39,13,14.62389198,120.9961127
SAN_JOSE,Brgy. San Jose,No Flood,0.44,5844,0.022,49,37,12,14.64060831,120.9937424
SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,Low,1.16,11632,0.022,97,63,34,14.6175614,121.0497756
SAN_ROQUE,Brgy. San Roque,No Flood,0.43,19093,0.057,159,103,56,14.61911196,121.0621319
SAN_VICENTE,Brgy. San Vicente,Low,1.31,7160,0.053,60,39,21,14.65316625,121.0557906
SANGANDAAN,Brgy. Sangandaan,Medium,2.97,21061,0.263,175,131,44,14.6746409,121.0204107
SANTOL,Brgy. Santol,Low,1.13,6410,0.185,53,34,19,14.6104505,121.0153031
SAUYO,Brgy. Sauyo,High,4.07,76289,0.077,635,413,222,14.69487742,121.0463794
SIENA,Brgy. Siena,Low,2.45,2072,0.444,17,13,4,14.63635169,121.0045059
SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Low,0.87,6121,0.027,51,33,18,14.63806739,121.0592293
SILANGAN,Brgy. Silangan,Low,2.12,4831,0.306,40,30,10,14.62752868,121.0587933
SOCORRO,Brgy. Socorro,Low,1.67,22227,0.02,185,139,46,14.61751377,121.0564081
SOUTH_TRIANGLE,Brgy. South Triangle,Low,2.29,14494,0.061,121,103,18,14.63793836,121.0360955
STA_CRUZ,Brgy. Sta. Cruz,Low,2.24,3945,0.243,33,25,8,14.63566465,121.0205774
STA_LUCIA,Brgy. Sta. Lucia,High,4.05,28215,0.161,235,200,35,14.70649847,121.050856
STA_MONICA,Brgy. Sta. Monica,High,4.44,51834,0.204,431,366,65,14.71904454,121.0462579
STA_TERESITA,Brgy. Sta. Teresita,No Flood,0.48,11776,0.042,98,64,34,14.62069579,121.0002183
STO_CRISTO,Brgy. Sto. Cristo,Low,2.35,25783,0.043,215,161,54,14.6598486,121.028958
STO_DOMINGO,Brgy. Sto. Domingo,Low,2.04,11476,0.439,96,82,14,14.62970699,121.0077004
STO_NINO,Brgy. Sto. Nino,No Flood,0.43,7070,0.039,59,38,21,14.61107394,121.0117633
TAGUMPAY,Brgy. Tagumpay,Low,1.4,2257,0.101,19,14,5,14.622268,121.0636452
TALAYAN,Brgy. Talayan,Low,2.15,4402,0.575,37,31,6,14.63473323,121.0112586
TALIPAPA,Brgy. Talipapa,Medium,3.86,38949,0.122,324,243,81,14.68541325,121.0250776
TANDANG_SORA,Brgy. Tandang Sora,Medium,2.87,83114,0.137,692,519,173,14.68206282,121.0400757
TATALON,Brgy. Tatalon,Low,1.92,55404,0.378,461,346,115,14.62357546,121.013913
TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,0.84,2401,0.052,20,13,7,14.6443337,121.0593115
TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Low,0.87,2986,0.104,25,16,9,14.64267995,121.0562375
UGONG_NORTE,Brgy. Ugong Norte,Low,1.03,6301,0.198,52,39,13,14.59662112,121.0710797
UNANG_SIGAW,Brgy. Unang Sigaw,Low,0.95,6508,0.048,54,35,19,14.65919237,121.0013573
UP_CAMPUS,Brgy. UP Campus,Low,2.24,47127,0.015,392,294,98,14.65398027,121.0647942
UP_VILLAGE,Brgy. UP Village,Low,0.61,3167,0.06,26,17,9,14.64888507,121.0563055
VALENCIA,Brgy. Valencia,Low,1.7,10900,0.037,91,68,23,14.61075866,121.0365006
VASRA,Brgy. Vasra,Low,2.05,7345,0.257,61,46,15,14.65695557,121.0463517
VETERANS_VILLAGE,Brgy. Veterans Village,Low,2.34,12755,0.109,106,80,26,14.65455274,121.0240285
VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,No Flood,0.42,2442,0.34,20,13,7,14.61656098,121.0687836
WEST_TRIANGLE,Brgy. West Triangle,Low,2.61,2431,0.23,20,15,5,14.64307947,121.0312166
WEST_KAMIAS,Brgy. West Kamias,Low,2.31,4055,0.511,34,26,8,14.63044628,121.0493061
WHITE_PLAINS,Brgy. White Plains,Low,1.02,3558,0.184,30,22,8,14.60618026,121.0726714
