id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
MANRESA,Brgy. Manresa,Low,2.25,17224,0.087,143,107,36,14.6415392,121.0007527
MARIANA,Brgy. Mariana,Low,2.5,11967,0.07,100,75,25,14.61898561,121.0333129
MARIBLO,Brgy. Mariblo,Medium,2.77,3433,0.477,29,19,10,14.63464313,121.0158518
MARILAG,Brgy. Marilag,Low,1.36,12555,0.065,104,68,36,14.62550739,121.069958
MASAGANA,Brgy. Masagana,Low,1.36,4166,0.381,35,23,12,14.61843938,121.0668343
MASAMBONG,Brgy. Masambong,Low,2.41,8800,0.705,73,55,18,14.64212716,121.008637
MATANDANG_BALARA,Brgy. Matandang Balara,Medium,3,69475,0.063,578,434,144,14.67044973,121.0809336
MILAGROSA,Brgy. Milagrosa,Low,1.34,6775,0.116,56,36,20,14.62059779,121.0697722
NS_AMORANTO,Brgy. N. S. Amoranto,Low,2.46,5952,0.136,50,38,12,14.63241032,120.9935736
NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,Low,2.55,53781,0.145,448,336,112,14.71888101,121.0250878
NAYONG_KANLURAN,Brgy. Nayong Kanluran,Medium,2.96,2456,0.165,20,15,5,14.64013017,121.024885
NEW_ERA,Brgy. New Era,Low,1.53,14105,0.207,117,88,29,14.66415345,121.0601573
NORTH_FAIRVIEW,Brgy. North Fairview,Low,0.92,44408,0.081,370,240,130,14.71257175,121.0611248
NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,3.13,15468,0.278,129,97,32,14.72064347,121.0374359
OBRERO,Brgy. Obrero,Low,2.4,9500,0.134,79,59,20,14.62828039,121.0297484
OLD_CAPITOL_SITE,Brgy. Old Capitol Site,Medium,2.77,1319,0.018,11,8,3,14.65034605,121.0528087
PAANG_BUNDOK,Brgy. Paang Bundok,Low,0.87,4806,0.002,40,26,14,14.6281223,120.9919778
PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Low,1.95,5918,0.048,49,37,12,14.64708319,120.996701
PALIGSAHAN,Brgy. Paligsahan,Low,1.63,3518,0.065,29,22,7,14.63237915,121.0227965
PALTOK,Brgy. Paltok,Medium,2.95,18124,0.211,151,113,38,14.64355619,121.0229969
PANSOL,Brgy. Pansol,Low,2.47,35254,0.059,293,220,73,14.65680508,121.0827832
PARAISO,Brgy. Paraiso,Medium,2.81,3537,0.157,29,22,7,14.6378562,121.0175495
PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Low,0.96,39896,0.029,332,249,83,14.74035228,121.095712
PASONG_TAMO,Brgy. Pasong Tamo,Low,1.99,110738,0.114,921,691,230,14.68145912,121.0587009
PAYATAS,Brgy. Payatas,Low,1.6,139740,0.021,1163,872,291,14.71152632,121.1006512
PHILAM,Brgy. Philam,Low,0.96,2524,0.17,21,16,5,14.64938705,121.0309825
PINAGKAISAHAN,Brgy. Pinagkaisahan,Medium,2.92,4366,0.173,36,27,9,14.62600533,121.0442133
PINYAHAN,Brgy. Pinyahan,Low,2.72,21868,0.022,182,136,46,14.63789542,121.0470557
PROJECT_6,Brgy. Project 6,Low,1.77,11899,0.118,99,74,25,14.65663659,121.0407057
QUIRINO_2A,Brgy. Quirino 2-A,Medium,3.15,4622,0.32,38,28,10,14.63039777,121.0590742
QUIRINO_2B,Brgy. Quirino 2-B,Medium,3.09,3938,0.171,33,25,8,14.63225908,121.0618405
QUIRINO_2C,Brgy. Quirino 2-C,Medium,3.38,3189,0.213,27,20,7,14.63474852,121.063051
QUIRINO_3A,Brgy. Quirino 3-A,High,4.08,1070,0.331,9,7,2,14.62866043,121.0636062
QUIRINO_3B,Brgy. Quirino 3-B,Medium,3.83,3885,0.411,32,27,5,14.63158245,121.0645363
RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Low,2.7,14321,0.053,119,89,30,14.65911599,121.0226855
ROXAS,Brgy. Roxas,Medium,2.84,10670,0.314,89,67,22,14.62762836,121.0218711
SACRED_HEART,Brgy. Sacred Heart,Low,1.06,6089,0.033,51,33,18,14.63139731,121.0388454
SAINT_PETER,Brgy. Saint Peter,Low,2.5,4049,0.343,34,22,12,14.634906,120.9998444
SAINT_IGNATIUS,Brgy. Saint Ignatius,Low,1.39,2054,0.066,17,11,6,14.61285106,121.0729148
SALVACION,Brgy. Salvacion,Low,0.84,6681,0.072,56,42,14,14.6265338,120.9939571
SAN_AGUSTIN,Brgy. San Agustin,Low,0.78,25355,0.074,211,158,53,14.73016968,121.0343875
SAN_ANTONIO,Brgy. San Antonio,Low,2.5,22229,0.295,185,120,65,14.65004568,121.0169596
SAN_BARTOLOME,Brgy. San Bartolome,Low,2.14,51148,0.16,426,277,149,14.70627741,121.0309644
SAN_ISIDRO,Brgy. San Isidro,Low,0.93,6550,0.108,55,36,19,14.61289501,121.0083339
SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Low,0.88,6247,0.181,52,39,13,14.62389198,120.9961127
SAN_JOSE,Brgy. San Jose,No Flood,0.44,5844,0.022,49,37,12,14.64060831,120.9937424
SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,Low,2.08,11632,0.022,97,63,34,14.6175614,121.0497756
SAN_ROQUE,Brgy. San Roque,Low,1.23,19093,0.057,159,103,56,14.61911196,121.0621319
SAN_VICENTE,Brgy. San Vicente,Low,1.76,7160,0.053,60,39,21,14.65316625,121.0557906
SANGANDAAN,Brgy. Sangandaan,Low,1.89,21061,0.263,175,131,44,14.6746409,121.0204107
SANTOL,Brgy. Santol,Low,1.57,6410,0.185,53,34,19,14.6104505,121.0153031
SAUYO,Brgy. Sauyo,Low,2.46,76289,0.077,635,413,222,14.69487742,121.0463794
SIENA,Brgy. Siena,Low,2.6,2072,0.444,17,13,4,14.63635169,121.0045059
SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Low,1.28,6121,0.027,51,33,18,14.63806739,121.0592293
SILANGAN,Brgy. Silangan,High,4.4,4831,0.306,40,30,10,14.62752868,121.0587933
SOCORRO,Brgy. Socorro,Medium,3.89,22227,0.02,185,139,46,14.61751377,121.0564081
SOUTH_TRIANGLE,Brgy. South Triangle,Medium,3.27,14494,0.061,121,103,18,14.63793836,121.0360955
STA_CRUZ,Brgy. Sta. Cruz,Medium,2.81,3945,0.243,33,25,8,14.63566465,121.0205774
STA_LUCIA,Brgy. Sta. Lucia,Low,1.87,28215,0.161,235,200,35,14.70649847,121.050856
STA_MONICA,Brgy. Sta. Monica,Low,1.59,51834,0.204,431,366,65,14.71904454,121.0462579
STA_TERESITA,Brgy. Sta. Teresita,Low,0.7,11776,0.042,98,64,34,14.62069579,121.0002183
STO_CRISTO,Brgy. Sto. Cristo,Low,2.21,25783,0.043,215,161,54,14.6598486,121.028958
STO_DOMINGO,Brgy. Sto. Domingo,Low,2.51,11476,0.439,96,82,14,14.62970699,121.0077004
STO_NINO,Brgy. Sto. Nino,No Flood,0.45,7070,0.039,59,38,21,14.61107394,121.0117633
TAGUMPAY,Brgy. Tagumpay,Medium,3.4,2257,0.101,19,14,5,14.622268,121.0636452
TALAYAN,Brgy. Talayan,Low,2.61,4402,0.575,37,31,6,14.63473323,121.0112586
TALIPAPA,Brgy. Talipapa,Low,2.32,38949,0.122,324,243,81,14.68541325,121.0250776
TANDANG_SORA,Brgy. Tandang Sora,Low,2.17,83114,0.137,692,519,173,14.68206282,121.0400757
TATALON,Brgy. Tatalon,Low,2.69,55404,0.378,461,346,115,14.62357546,121.013913
TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,1.14,2401,0.052,20,13,7,14.6443337,121.0593115
TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Low,1.11,2986,0.104,25,16,9,14.64267995,121.0562375
UGONG_NORTE,Brgy. Ugong Norte,Low,2.23,6301,0.198,52,39,13,14.59662112,121.0710797
UNANG_SIGAW,Brgy. Unang Sigaw,Low,0.8,6508,0.048,54,35,19,14.65919237,121.0013573
UP_CAMPUS,Brgy. UP Campus,Medium,3.37,47127,0.015,392,294,98,14.65398027,121.0647942
UP_VILLAGE,Brgy. UP Village,Low,0.95,3167,0.06,26,17,9,14.64888507,121.0563055
VALENCIA,Brgy. Valencia,Medium,3.46,10900,0.037,91,68,23,14.61075866,121.0365006
VASRA,Brgy. Vasra,Low,2.39,7345,0.257,61,46,15,14.65695557,121.0463517
VETERANS_VILLAGE,Brgy. Veterans Village,Low,2.28,12755,0.109,106,80,26,14.65455274,121.0240285
VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,Low,1.38,2442,0.34,20,13,7,14.61656098,121.0687836
WEST_TRIANGLE,Brgy. West Triangle,Medium,3.23,2431,0.23,20,15,5,14.64307947,121.0312166
WEST_KAMIAS,Brgy. West Kamias,High,4.03,4055,0.511,34,26,8,14.63044628,121.0493061
WHITE_PLAINS,Brgy. White Plains,Medium,3.75,3558,0.184,30,22,8,14.60618026,121.0726714
