id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
CAPRI,Brgy. Capri,High,4.8,12903,0.693,107,91,16,14.71679882,121.028477
CENTRAL,Brgy. Central,Low,2.4,19331,0.095,161,121,40,14.6463009,121.0486307
CAMP_AGUINALDO,Brgy. Camp Aguinaldo,No Flood,0.38,3269,0,27,18,9,14.60726587,121.0637277
COMMONWEALTH,Brgy. Commonwealth,Low,2.47,213229,0.053,1774,1330,444,14.70052769,121.083798
CULIAT,Brgy. Culiat,Medium,3.17,67804,0.231,564,423,141,14.66777627,121.054947
DAMAR,Brgy. Damar,Low,0.82,952,0.214,8,5,3,14.64680629,121.0008772
DAMAYAN,Brgy. Damayan,Medium,2.95,6007,0.323,50,38,12,14.63784834,121.0139472
DAMAYANG_LAGI,Brgy. Damayang Lagi,Low,2.51,19466,0.258,162,122,40,14.61605037,121.0232706
DEL_MONTE,Brgy. Del Monte,Low,2.18,10595,0.259,88,66,22,14.64326124,121.015046
DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,No Flood,0.08,1805,0.069,15,11,4,14.61983145,121.0647381
DON_MANUEL,Brgy. Don Manuel,Low,0.71,1728,0.276,14,9,5,14.61634956,121.0051836
DONA_AURORA,Brgy. Dona Aurora,No Flood,0.43,4221,0.029,35,23,12,14.61624693,121.0091634
DONA_IMELDA,Brgy. Dona Imelda,Low,1.65,11724,0.222,98,83,15,14.61300607,121.0172059
DONA_JOSEFA,Brgy. Dona Josefa,No Flood,0.47,1857,0.011,15,10,5,14.62001076,121.0067754
DUYAN_DUYAN,Brgy. Duyan-Duyan,Low,0.51,1728,0.068,28,18,10,14.62999746,121.0671588
E_RODRIGUEZ,Brgy. E. Rodriguez,Low,1.53,17363,0.143,145,109,36,14.62633826,121.052093
EAST_KAMIAS,Brgy. East Kamias,Low,1.85,6395,0.254,53,45,8,14.63219268,121.0561699
ESCOBA_1,Brgy. Escopa 1,No Flood,0.1,2110,0,18,12,6,14.62440321,121.0734585
ESCOBA_2,Brgy. Escopa 2,No Flood,0.07,1683,0,14,9,5,14.62431164,121.074453
ESCOBA_3,Brgy. Escopa 3,No Flood,0.15,7985,0,66,43,23,14.62700828,121.0732587
ESCOBA_4,Brgy. Escopa 4,No Flood,0.05,1837,0,15,10,5,14.62564591,121.0743872
FAIRVIEW,Brgy. Fairview,High,4.55,61813,0.058,514,386,128,14.70245239,121.0687383
GREATER_LAGRO,Brgy. Greater Lagro,Medium,3.11,23569,0.081,196,147,49,14.72363061,121.0633776
GULOD,Brgy. Gulod,High,4.96,62542,0.118,520,390,130,14.71159326,121.0409845
HOLY_SPIRIT,Brgy. Holy Spirit,Low,0.89,111901,0.065,931,605,326,14.684883,121.0779885
HORSESHOE,Brgy. Horseshoe,Low,1.53,2866,0.133,24,18,6,14.61259045,121.0419452
IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Low,1.9,8169,0.087,68,51,17,14.62236934,121.0443232
KALIGAYAHAN,Brgy. Kaligayahan,Low,2.31,60462,0.052,503,377,126,14.73457972,121.0459234
KALUSUGAN,Brgy. Kalusugan,Low,2.17,4786,0.009,40,30,10,14.62292118,121.0213597
KAMUNING,Brgy. Kamuning,Low,1.86,14258,0.224,119,89,30,14.62777997,121.0397147
KATIPUNAN,Brgy. Katipunan,Medium,2.83,10508,0.116,87,74,13,14.65619492,121.0171765
KAUNLARAN,Brgy. Kaunlaran,No Flood,0.03,12387,0.011,103,67,36,14.61689076,121.0440833
KRISTONG_HARI,Brgy. Kristong Hari,Low,2.02,6055,0.087,50,38,12,14.62481582,121.0306197
KRUS_NA_LIGAS,Brgy. Krus na Ligas,Low,0.6,21287,0,177,115,62,14.64432541,121.0627873
LAGING_HANDA,Brgy. Laging Handa,Low,0.89,4812,0.08,40,26,14,14.63250452,121.0305875
LIBIS,Brgy. Libis,Low,1.9,4208,0.06,35,26,9,14.61618993,121.0769978
LOURDES,Brgy. Lourdes,Low,1.67,4523,0.09,38,28,10,14.6258265,121.0021126
LOYOLA_HEIGHTS,Brgy. Loyola Heights,Low,0.89,21140,0.156,176,114,62,14.63830397,121.0739516
MAHARLIKA,Brgy. Maharlika,Low,2,4349,0.323,36,27,9,14.63338764,120.996748
MALAYA,Brgy. Malaya,No Flood,0.2,2605,0.012,22,16,6,14.63599851,121.0555432
MANGGA,Brgy. Mangga,Low,0.81,11967,0.225,8,5,3,14.62562661,121.0620108
MANRESA,Brgy. Manresa,Low,2.19,17224,0.087,143,107,36,14.6415392,121.0007527
MARIANA,Brgy. Mariana,Low,1.66,11967,0.07,100,75,25,14.61898561,121.0333129
MARIBLO,Brgy. Mariblo,Low,2.02,3433,0.477,29,19,10,14.63464313,121.0158518
MARILAG,Brgy. Marilag,Low,0.76,12555,0.065,104,68,36,14.62550739,121.069958
MASAGANA,Brgy. Masagana,Low,0.76,4166,0.381,35,23,12,14.61843938,121.0668343
MASAMBONG,Brgy. Masambong,Low,2.08,8800,0.705,73,55,18,14.64212716,121.008637
MATANDANG_BALARA,Brgy. Matandang Balara,Low,2.58,69475,0.063,578,434,144,14.67044973,121.0809336
MILAGROSA,Brgy. Milagrosa,Low,0.78,6775,0.116,56,36,20,14.62059779,121.0697722
NS_AMORANTO,Brgy. N. S. Amoranto,Low,2.39,5952,0.136,50,38,12,14.63241032,120.9935736
NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,High,4.78,53781,0.145,448,336,112,14.71888101,121.0250878
NAYONG_KANLURAN,Brgy. Nayong Kanluran,Low,2.19,2456,0.165,20,15,5,14.64013017,121.024885
NEW_ERA,Brgy. New Era,Low,1.46,14105,0.207,117,88,29,14.66415345,121.0601573
NORTH_FAIRVIEW,Brgy. North Fairview,Low,1.94,44408,0.081,370,240,130,14.71257175,121.0611248
NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,3.98,15468,0.278,129,97,32,14.72064347,121.0374359
OBRERO,Brgy. Obrero,Low,1.58,9500,0.134,79,59,20,14.62828039,121.0297484
OLD_CAPITOL_SITE,Brgy. Old Capitol Site,Low,1.94,1319,0.018,11,8,3,14.65034605,121.0528087
PAANG_BUNDOK,Brgy. Paang Bundok,Low,0.78,4806,0.002,40,26,14,14.6281223,120.9919778
PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Low,2,5918,0.048,49,37,12,14.64708319,120.996701
PALIGSAHAN,Brgy. Paligsahan,Low,1.35,3518,0.065,29,22,7,14.63237915,121.0227965
PALTOK,Brgy. Paltok,Low,2.42,18124,0.211,151,113,38,14.64355619,121.0229969
PANSOL,Brgy. Pansol,Low,2,35254,0.059,293,220,73,14.65680508,121.0827832
PARAISO,Brgy. Paraiso,Low,2.04,3537,0.157,29,22,7,14.6378562,121.0175495
PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Low,1.5,39896,0.029,332,249,83,14.74035228,121.095712
PASONG_TAMO,Brgy. Pasong Tamo,Low,2.53,110738,0.114,921,691,230,14.68145912,121.0587009
PAYATAS,Brgy. Payatas,Low,2.29,139740,0.021,1163,872,291,14.71152632,121.1006512
PHILAM,Brgy. Philam,Low,0.94,2524,0.17,21,16,5,14.64938705,121.0309825
PINAGKAISAHAN,Brgy. Pinagkaisahan,Low,1.59,4366,0.173,36,27,9,14.62600533,121.0442133
PINYAHAN,Brgy. Pinyahan,Low,1.58,21868,0.022,182,136,46,14.63789542,121.0470557
PROJECT_6,Brgy. Project 6,Low,1.47,11899,0.118,99,74,25,14.65663659,121.0407057
QUIRINO_2A,Brgy. Quirino 2-A,Low,1.74,4622,0.32,38,28,10,14.63039777,121.0590742
QUIRINO_2B,Brgy. Quirino 2-B,Low,1.66,3938,0.171,33,25,8,14.63225908,121.0618405
QUIRINO_2C,Brgy. Quirino 2-C,Low,1.64,3189,0.213,27,20,7,14.63474852,121.063051
QUIRINO_3A,Brgy. Quirino 3-A,Low,2,1070,0.331,9,7,2,14.62866043,121.0636062
QUIRINO_3B,Brgy. Quirino 3-B,Low,1.89,3885,0.411,32,27,5,14.63158245,121.0645363
RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Medium,2.84,14321,0.053,119,89,30,14.65911599,121.0226855
ROXAS,Brgy. Roxas,Low,1.94,10670,0.314,89,67,22,14.62762836,121.0218711
SACRED_HEART,Brgy. Sacred Heart,Low,0.52,6089,0.033,51,33,18,14.63139731,121.0388454
SAINT_PETER,Brgy. Saint Peter,Low,2.19,4049,0.343,34,22,12,14.634906,120.9998444
SAINT_IGNATIUS,Brgy. Saint Ignatius,Low,0.7,2054,0.066,17,11,6,14.61285106,121.0729148
SALVACION,Brgy. Salvacion,Low,0.72,6681,0.072,56,42,14,14.6265338,120.9939571
SAN_AGUSTIN,Brgy. San Agustin,Low,2.28,25355,0.074,211,158,53,14.73016968,121.0343875
SAN_ANTONIO,Brgy. San Antonio,Low,2.35,22229,0.295,185,120,65,14.65004568,121.0169596
SAN_BARTOLOME,Brgy. San Bartolome,High,4.47,51148,0.16,426,277,149,14.70627741,121.0309644
SAN_ISIDRO,Brgy. San Isidro,Low,0.72,6550,0.108,55,36,19,14.61289501,121.0083339
SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Low,0.72,6247,0.181,52,39,13,14.62389198,120.9961127
SAN_JOSE,Brgy. San Jose,No Flood,0.44,5844,0.022,49,37,12,14.64060831,120.9937424
SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,Low,1.2,11632,0.022,97,63,34,14.6175614,121.0497756
SAN_ROQUE,Brgy. San Roque,Low,0.5,19093,0.057,159,103,56,14.61911196,121.0621319
SAN_VICENTE,Brgy. San Vicente,Low,1.27,7160,0.053,60,39,21,14.65316625,121.0557906
SANGANDAAN,Brgy. Sangandaan,Low,2.63,21061,0.263,175,131,44,14.6746409,121.0204107
SANTOL,Brgy. Santol,Low,1.06,6410,0.185,53,34,19,14.6104505,121.0153031
SAUYO,Brgy. Sauyo,High,4.18,76289,0.077,635,413,222,14.69487742,121.0463794
SIENA,Brgy. Siena,Low,2.28,2072,0.444,17,13,4,14.63635169,121.0045059
SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Low,0.79,6121,0.027,51,33,18,14.63806739,121.0592293
SILANGAN,Brgy. Silangan,Low,2.16,4831,0.306,40,30,10,14.62752868,121.0587933
SOCORRO,Brgy. Socorro,Low,1.61,22227,0.02,185,139,46,14.61751377,121.0564081
SOUTH_TRIANGLE,Brgy. South Triangle,Low,2.17,14494,0.061,121,103,18,14.63793836,121.0360955
STA_CRUZ,Brgy. Sta. Cruz,Low,2.1,3945,0.243,33,25,8,14.63566465,121.0205774
STA_LUCIA,Brgy. Sta. Lucia,High,4.35,28215,0.161,235,200,35,14.70649847,121.050856
STA_MONICA,Brgy. Sta. Monica,High,4.8,51834,0.204,431,366,65,14.71904454,121.0462579
STA_TERESITA,Brgy. Sta. Teresita,No Flood,0.44,11776,0.042,98,64,34,14.62069579,121.0002183
STO_CRISTO,Brgy. Sto. Cristo,Low,2.18,25783,0.043,215,161,54,14.6598486,121.028958
STO_DOMINGO,Brgy. Sto. Domingo,Low,1.92,11476,0.439,96,82,14,14.62970699,121.0077004
STO_NINO,Brgy. Sto. Nino,No Flood,0.43,7070,0.039,59,38,21,14.61107394,121.0117633
TAGUMPAY,Brgy. Tagumpay,Low,1.29,2257,0.101,19,14,5,14.622268,121.0636452
TALAYAN,Brgy. Talayan,Low,1.97,4402,0.575,37,31,6,14.63473323,121.0112586
TALIPAPA,Brgy. Talipapa,Medium,3.76,38949,0.122,324,243,81,14.68541325,121.0250776
TANDANG_SORA,Brgy. Tandang Sora,Low,2.57,83114,0.137,692,519,173,14.68206282,121.0400757
TATALON,Brgy. Tatalon,Low,1.75,55404,0.378,461,346,115,14.62357546,121.013913
TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,0.87,2401,0.052,20,13,7,14.6443337,121.0593115
TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Low,0.89,2986,0.104,25,16,9,14.64267995,121.0562375
UGONG_NORTE,Brgy. Ugong Norte,Low,1,6301,0.198,52,39,13,14.59662112,121.0710797
UNANG_SIGAW,Brgy. Unang Sigaw,Low,0.93,6508,0.048,54,35,19,14.65919237,121.0013573
UP_CAMPUS,Brgy. UP Campus,Low,2.46,47127,0.015,392,294,98,14.65398027,121.0647942
UP_VILLAGE,Brgy. UP Village,Low,0.6,3167,0.06,26,17,9,14.64888507,121.0563055
VALENCIA,Brgy. Valencia,Low,1.54,10900,0.037,91,68,23,14.61075866,121.0365006
VASRA,Brgy. Vasra,Low,2,7345,0.257,61,46,15,14.65695557,121.0463517
VETERANS_VILLAGE,Brgy. Veterans Village,Low,2.2,12755,0.109,106,80,26,14.65455274,121.0240285
VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,No Flood,0.47,2442,0.34,20,13,7,14.61656098,121.0687836
WEST_TRIANGLE,Brgy. West Triangle,Low,2.54,2431,0.23,20,15,5,14.64307947,121.0312166
WEST_KAMIAS,Brgy. West Kamias,Low,2.16,4055,0.511,34,26,8,14.63044628,121.0493061
WHITE_PLAINS,Brgy. White Plains,Low,1.07,3558,0.184,30,22,8,14.60618026,121.0726714
